insurance_validity,fuel_type,kms_driven,ownsership,transmission,price(in lakhs)
0,0,65000,1,1,8.85
0,1,69000,1,1,19.9
1,1,16000,1,1,1.32
0,0,75163,1,0,5.14
1,0,6900,1,0,10.25
0,0,89961,2,0,3.74
0,1,4000,1,1,54.0
0,1,54000,1,1,17.5
0,0,58740,2,1,5.99
1,1,100000,1,1,15.5
0,0,18700,1,1,83.0
0,0,83690,1,0,4.54
1,0,11000,1,1,50.0
0,0,50900,1,0,2.95
0,1,25000,1,1,64.0
0,0,78651,1,0,3.79
0,0,50000,1,0,7.5
0,0,9818,1,0,13.9
0,1,49230,1,0,8.7
0,0,65000,1,1,8.85
0,1,69000,1,1,19.9
1,1,67000,1,0,10.9
0,0,76685,1,0,6.95
0,1,101954,1,0,6.68
0,1,42000,2,1,24.5
1,0,42000,1,0,5.45
0,0,68897,1,1,5.0
1,0,26000,1,1,65.0
0,1,105568,2,0,4.63
1,1,54000,1,1,24.0
0,0,61383,1,1,9.63
0,1,75000,2,1,18.5
0,0,77130,2,1,4.0
2,1,56426,1,1,29.9
1,1,75000,2,1,39.9
0,0,69018,1,0,5.75
0,1,57000,1,0,10.75
0,0,76000,1,0,9.3
1,1,67000,1,0,10.9
0,0,76685,1,0,6.95
0,1,101954,1,0,6.68
0,1,42000,2,1,24.5
1,0,42000,1,0,5.45
0,0,68897,1,1,5.0
1,0,26000,1,1,65.0
0,1,105568,2,0,4.63
1,1,54000,1,1,24.0
0,0,61383,1,1,9.63
0,1,75000,2,1,18.5
0,0,77130,2,1,4.0
2,1,56426,1,1,29.9
1,1,75000,2,1,39.9
0,0,69018,1,0,5.75
0,1,57000,1,0,10.75
0,0,76000,1,0,9.3
0,0,29000,1,1,16.5
0,0,65710,2,1,8.66
0,1,51763,1,0,8.0
0,0,19133,1,0,9.74
1,0,22000,1,1,19.25
1,1,145000,1,1,18.0
0,0,42733,1,0,6.82
1,0,30300,2,1,24.8
0,0,14000,1,1,48.5
0,1,59215,2,0,7.8
1,0,22000,1,1,93.0
0,0,91724,1,1,10.76
0,1,52000,2,1,25.5
0,0,19900,1,1,82.0
0,0,72503,1,0,3.21
0,1,38000,1,1,69.5
0,1,67633,1,0,6.61
0,1,45000,2,1,43.0
0,0,61000,1,0,4.6
0,0,29000,1,1,16.5
0,0,65710,2,1,8.66
0,1,51763,1,0,8.0
0,0,19133,1,0,9.74
1,0,22000,1,1,19.25
1,1,145000,1,1,18.0
0,0,42733,1,0,6.82
1,0,30300,2,1,24.8
0,0,14000,1,1,48.5
0,1,59215,2,0,7.8
1,0,22000,1,1,93.0
0,0,91724,1,1,10.76
0,1,52000,2,1,25.5
0,0,19900,1,1,82.0
0,0,72503,1,0,3.21
0,1,38000,1,1,69.5
0,1,67633,1,0,6.61
0,1,45000,2,1,43.0
0,0,61000,1,0,4.6
0,1,30000,1,1,27.5
0,0,103030,1,1,6.82
1,0,19123,1,0,10.25
0,1,70767,1,0,11.6
2,0,25000,1,1,49.75
1,0,58525,1,0,8.5
0,0,77353,1,0,5.2
0,0,59200,1,0,6.25
0,1,25000,2,1,79.9
0,1,99230,1,0,6.55
0,0,80000,1,0,5.25
0,0,50840,1,0,6.72
0,0,1000,1,1,59.75
1,0,150000,1,1,4.5
0,0,111142,1,0,5.01
0,0,133477,1,1,8.5
0,1,23000,1,1,43.0
0,1,120802,1,0,5.97
0,1,41000,2,1,20.0
1,0,50000,2,1,12.5
0,1,30000,1,1,27.5
0,0,103030,1,1,6.82
1,0,19123,1,0,10.25
0,1,70767,1,0,11.6
2,0,25000,1,1,49.75
1,0,58525,1,0,8.5
0,0,77353,1,0,5.2
0,0,59200,1,0,6.25
0,1,25000,2,1,79.9
0,1,99230,1,0,6.55
0,0,80000,1,0,5.25
0,0,50840,1,0,6.72
0,0,1000,1,1,59.75
1,0,150000,1,1,4.5
0,0,111142,1,0,5.01
0,0,133477,1,1,8.5
0,1,23000,1,1,43.0
0,1,120802,1,0,5.97
0,1,41000,2,1,20.0
1,0,50000,2,1,12.5
0,1,7900,1,1,1.5
0,0,42334,1,1,8.29
1,0,150000,1,1,4.25
0,0,98275,1,0,3.97
1,1,57500,2,1,1.8
1,0,65000,1,0,6.85
0,0,52235,2,0,7.45
0,0,50158,1,0,6.95
0,1,34000,2,1,44.9
0,0,69820,1,1,5.44
0,1,71000,1,1,20.5
0,0,82415,1,1,5.34
1,1,70000,2,1,51.5
1,0,150000,1,1,4.5
0,1,71070,1,1,7.22
1,0,83000,1,1,12.65
0,0,107834,1,0,7.99
0,0,55000,1,0,6.75
0,0,55000,1,1,45.45
0,1,7900,1,1,1.5
0,0,42334,1,1,8.29
1,0,150000,1,1,4.25
0,0,98275,1,0,3.97
1,1,57500,2,1,1.8
1,0,65000,1,0,6.85
0,0,52235,2,0,7.45
0,0,50158,1,0,6.95
0,1,34000,2,1,44.9
0,0,69820,1,1,5.44
0,1,71000,1,1,20.5
0,0,82415,1,1,5.34
1,1,70000,2,1,51.5
1,0,150000,1,1,4.5
0,1,71070,1,1,7.22
1,0,83000,1,1,12.65
0,0,107834,1,0,7.99
0,0,55000,1,0,6.75
0,0,55000,1,1,45.45
0,1,25000,2,1,52.0
0,0,48539,2,0,3.21
0,0,65000,1,0,6.25
0,0,86916,2,0,3.68
0,0,11000,1,1,66.0
0,0,108662,1,1,7.12
1,0,130000,1,1,4.5
0,0,29000,1,1,71.0
0,0,63307,1,0,5.44
0,1,84000,1,1,15.9
0,0,101927,1,0,5.14
0,0,31900,2,1,31.0
0,0,76000,1,1,23.9
0,0,40775,2,1,8.14
1,1,18346,1,1,97.0
1,1,46001,1,1,1.06
0,1,59710,1,0,7.8
0,0,40000,1,1,10.95
0,1,76000,1,1,19.99
0,1,25000,2,1,52.0
0,0,48539,2,0,3.21
0,0,65000,1,0,6.25
0,0,86916,2,0,3.68
0,0,11000,1,1,66.0
0,0,108662,1,1,7.12
1,0,130000,1,1,4.5
0,0,29000,1,1,71.0
0,0,63307,1,0,5.44
0,1,84000,1,1,15.9
0,0,101927,1,0,5.14
0,0,31900,2,1,31.0
0,0,76000,1,1,23.9
0,0,40775,2,1,8.14
1,1,18346,1,1,97.0
1,1,46001,1,1,1.06
0,1,59710,1,0,7.8
0,0,40000,1,1,10.95
0,1,76000,1,1,19.99
0,0,8000,1,1,87.0
0,0,67606,1,0,6.82
1,1,72135,2,1,15.75
0,0,96658,1,0,5.1
2,0,29000,1,1,27.25
0,1,76000,2,1,45.0
0,0,26750,1,1,8.62
3,0,92762,5,1,8.25
0,1,14000,1,1,35.5
